"Longitude","Latitude","MeanSharkSpatialDensity"
-83.375,27.375,1.85834724106826e-05
-83.125,27.375,8.29270065878518e-05
-82.875,27.375,6.51193986414e-05
49.875,27.375,3.30142283928581e-05
50.375,27.375,2.00840022444027e-05
51.125,27.375,2.05303131224355e-05
51.375,27.375,0.000143678742460907
51.625,27.375,7.7296223025769e-05
51.875,27.375,3.57295502908528e-05
-111.625,27.125,8.62273154780269e-05
-95.875,27.125,9.63702041190118e-05
-95.375,27.125,9.94930524029769e-05
-95.125,27.125,4.86244243802503e-05
-94.875,27.125,4.86244243802503e-05
-94.625,27.125,4.82615578221157e-05
-93.375,27.125,5.6728495110292e-05
-92.875,27.125,5.6728495110292e-05
-92.375,27.125,5.52739184058737e-05
-90.875,27.125,8.50927463034168e-05
-90.625,27.125,8.50927463034168e-05
-90.375,27.125,6.7545122874435e-05
-89.375,27.125,9.12297473405488e-05
-88.875,27.125,0.000122600831673481
-88.375,27.125,6.34024399914779e-05
-88.125,27.125,6.46704866085202e-05
-87.125,27.125,2.30173027375713e-05
-86.625,27.125,2.35165407502791e-05
-86.125,27.125,2.33467453654157e-05
-83.875,27.125,2.26913980441168e-05
-83.625,27.125,2.48187170655001e-05
-83.375,27.125,4.46003359684255e-05
-83.125,27.125,4.1208382754121e-05
-82.875,27.125,0.000165410907357
-82.625,27.125,3.71669448213652e-05
-82.375,27.125,1.86370270967018e-05
-82.125,27.125,3.71669448213652e-05
50.375,27.125,3.35740187438205e-05
50.625,27.125,6.53237220831215e-05
50.875,27.125,2.51779820246156e-05
51.125,27.125,4.59329348814208e-05
51.375,27.125,2.04007847059984e-05
51.625,27.125,8.39127096696757e-05
51.875,27.125,3.17425619869027e-05
52.125,27.125,3.59280493285041e-05
52.375,27.125,0.000122019788250327
52.625,27.125,8.26670802780427e-05
-115.875,26.875,5.01321592309978e-05
-111.875,26.875,0.000543063739314675
-111.625,26.875,0.000376176059944555
-95.875,26.875,9.43349368753843e-05
-94.375,26.875,4.79040645586792e-05
-94.125,26.875,4.7551828174619e-05
-93.875,26.875,4.7551828174619e-05
-93.625,26.875,4.66940982732922e-05
-93.375,26.875,4.61932031612378e-05
-92.875,26.875,4.58655922557227e-05
-92.625,26.875,7.42298434488475e-05
-92.125,26.875,5.57504172320478e-05
-91.625,26.875,5.57504172320478e-05
-90.875,26.875,5.48064817849081e-05
-90.625,26.875,3.29951471940149e-05
-90.375,26.875,0.000103556267276872
-90.125,26.875,8.88144204509445e-05
-89.875,26.875,8.50927463034168e-05
-89.375,26.875,0.000122019788250327
-88.375,26.875,6.34024399914779e-05
-88.125,26.875,2.55614577326924e-05
-87.375,26.875,4.81919050798751e-05
-87.125,26.875,3.82678990717977e-05
-85.375,26.875,2.30144087254303e-05
-84.625,26.875,2.28517619689228e-05
-83.375,26.875,2.05956966965459e-05
-83.125,26.875,5.2209787099855e-05
-82.875,26.875,7.51714178477414e-05
-82.625,26.875,1.85834724106826e-05
-82.375,26.875,1.86370270967018e-05
35.125,26.875,2.62888152064988e-05
35.375,26.875,0.000107449639472179
50.125,26.875,3.75991185137536e-05
50.625,26.875,2.31350259127794e-05
51.125,26.875,4.21306103817187e-05
51.375,26.875,2.45895389525685e-05
51.625,26.875,6.46284970571287e-05
51.875,26.875,1.97769077203702e-05
52.125,26.875,8.26670802780427e-05
52.375,26.875,0.00017086548905354
52.625,26.875,7.28201484889723e-05
52.875,26.875,6.75599949317984e-05
56.625,26.875,6.10098941251636e-05
-96.625,26.625,4.97465262014885e-05
-95.375,26.625,3.09456518152729e-05
-92.875,26.625,0.000122019788250327
-92.625,26.625,0.000122019788250327
-92.375,26.625,4.55425943073351e-05
-92.125,26.625,4.55425943073351e-05
-91.875,26.625,5.72305179957766e-05
-91.375,26.625,5.72305179957766e-05
-91.125,26.625,0.000115492221084423
-90.875,26.625,4.85742129967548e-05
-90.625,26.625,5.52739184058737e-05
-90.375,26.625,6.86402490828186e-05
-90.125,26.625,7.38413364160806e-05
-89.875,26.625,8.50927463034168e-05
