ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID179,IND_SW,Total,100,100,0,0,0.000241547,0.000138124,0.000295534,6.30E-05
ID180,IND_SW,Total,100,100,0,0,9.39E-05,6.57E-05,9.34E-05,4.67E-05
ID181,IND_SW,Total,100,100,0,0,0.000192706,0.000141811,0.000205047,3.42E-05
ID182,IND_SW,Total,100,100,0,0,0.000160718,8.90E-05,0.000140216,3.22E-05
ID183,IND_SW,Total,100,100,0,0,0.000160802,8.37E-05,0.000379366,5.37E-05
ID184,IND_SW,Total,100,100,0,0,0.000141682,0.000119886,9.04E-05,2.07E-05
ID185,IND_SW,Total,100,100,0,0,0.000160126,9.78E-05,0.000174897,2.67E-05
ID186,IND_SW,Total,96.96969697,100,5.248638811,3.03030303,8.52E-05,3.47E-05,0.000105593,2.93E-05
ID187,ATL_N,Total,100,100,0,0,0.00048167,0.000229986,0.000609399,0.000157346
ID188,ATL_N,Total,100,100,0,0,0.000657468,0.000500451,0.000674647,0.000168662
ID189,ATL_N,Total,100,100,0,0,0.001396133,0.000395037,0.002028163,0.000383287
ID190,ATL_N,Total,100,100,0,0,0.000868705,0.00089615,0.000361242,0.000120414
ID191,ATL_S,Total,100,100,NA,NA,0.000827781,0.000827781,NA,NA
ID192,ATL_S,Total,100,100,0,0,0.000156781,0.000139838,0.000128128,3.42E-05
ID193,ATL_S,Total,100,100,0,0,0.000151269,0.000113481,0.000106114,2.74E-05
ID194,ATL_S,Total,100,100,0,0,0.000256674,0.000123166,0.000271885,8.60E-05
ID195,ATL_S,Total,100,100,0,0,0.000491417,0.000257633,0.000493939,0.000107786
ID196,IND_E,Total,93.33333333,100,11.54700538,6.666666667,0.000125227,4.34E-05,0.000175321,3.66E-05
ID197,IND_E,Total,90,90,NA,NA,0.000646929,0.000497595,0.000779173,0.000246396
ID198,IND_E,Total,73.61111111,75,16.17325181,6.602702402,0.00117565,0.000699055,0.001440348,0.000339493
ID199,IND_E,Total,83.33333333,83.33333333,NA,NA,0.00053339,0.000437886,0.000538398,0.0002198
ID200,IND_E,Total,68.75,87.5,47.32423622,23.66211811,0.000345924,0.000185391,0.000338324,7.57E-05
ID201,IND_E,Total,87.70833333,85.41666667,8.75,4.375,0.00056704,0.00044004,0.000712062,0.000155385
ID202,IND_E,Total,75,75,35.35533906,25,0.000303703,0.000370041,0.000209433,0.000104716
ID203,IND_E,Total,95,100,10,5,0.000670037,0.000403501,0.000751157,0.000160147
ID204,IND_E,Total,100,100,0,0,0.000943715,0.000752441,0.001145711,0.000306204
ID205,IND_E,Total,100,100,0,0,0.000753563,0.000517839,0.000697237,0.000116206
ID206,IND_E,Total,77.77777778,77.77777778,15.71348403,11.11111111,0.00060004,0.000452076,0.000484005,0.00013972
ID207,IND_E,Total,94.44444444,100,9.622504486,5.555555556,0.000620093,0.000359624,0.000755387,0.000251796
ID208,IND_E,Total,100,100,NA,NA,0.00072264,0.000424806,0.00068513,0.000279703
ID209,IND_E,Total,87.14285714,100,21.66535841,9.689042833,0.00061602,0.000323079,0.000741881,0.000142775
ID210,IND_E,Total,66.66666667,100,57.73502692,33.33333333,0.000783942,0.000536292,0.000974406,0.000324802
ID211,IND_E,Total,88.88888889,100,19.24500897,11.11111111,0.000350957,6.16E-05,0.000550175,0.000126219
ID212,IND_E,Total,80,100,44.72135955,20,0.000348349,0.000195921,0.000361796,6.40E-05
ID213,IND_E,Total,93.75,100,17.67766953,6.25,0.000772349,0.000148669,0.001210346,0.000129763
ID214,IND_E,Total,75,75,35.35533906,25,0.000257708,0.00028808,0.000124192,4.14E-05
ID215,IND_E,Total,75,100,50,25,0.001247828,0.000389168,0.002346864,0.000707606
ID216,IND_E,Total,91.66666667,100,20.41241452,8.333333333,0.001130817,0.0003035,0.001627255,0.000339306
ID217,IND_E,Total,90,100,22.36067977,10,0.000910186,0.000496177,0.001086143,0.000221708
ID218,IND_E,Total,89.13043478,100,21.95544552,9.818773731,0.000281213,9.47E-05,0.000379021,4.35E-05
